	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ST52	1.02E-34	1.003898	0.534	0.186	2.05E-31	Skeletal muscle	ST5
MCAM	5.19E-34	1.519127	0.546	0.216	1.04E-30	Skeletal muscle	MCAM
SDK13	6.91E-34	0.817606	0.648	0.346	1.38E-30	Skeletal muscle	SDK1
A2M1	9.11E-33	0.885691	0.574	0.305	1.82E-29	Skeletal muscle	A2M
PLPP13	1.08E-32	0.843256	0.638	0.36	2.16E-29	Skeletal muscle	PLPP1
PAWR2	1.23E-31	0.944109	0.525	0.201	2.46E-28	Skeletal muscle	PAWR
ELN3	1.62E-31	1.412018	0.513	0.199	3.24E-28	Skeletal muscle	ELN
IMMP2L1	5.74E-31	0.547778	0.875	0.803	1.15E-27	Skeletal muscle	IMMP2L
HDAC94	4.05E-30	0.722719	0.579	0.283	8.10E-27	Skeletal muscle	HDAC9
PLCL1	7.44E-30	0.84824	0.813	0.656	1.49E-26	Skeletal muscle	PLCL1
GAB13	3.16E-29	0.521477	0.558	0.255	6.32E-26	Skeletal muscle	GAB1
NPAS33	1.04E-26	0.554028	0.534	0.244	2.08E-23	Skeletal muscle	NPAS3
LAMC15	1.80E-26	0.65854	0.563	0.263	3.61E-23	Skeletal muscle	LAMC1
ZNF7042	2.82E-26	0.797548	0.556	0.261	5.64E-23	Skeletal muscle	ZNF704
ENAH2	3.56E-25	1.166074	0.52	0.202	7.11E-22	Skeletal muscle	ENAH
TMTC13	8.00E-25	0.719323	0.53	0.248	1.60E-21	Skeletal muscle	TMTC1
UACA3	1.94E-24	0.720533	0.541	0.275	3.88E-21	Skeletal muscle	UACA
GULP12	9.08E-24	0.54343	0.511	0.216	1.82E-20	Skeletal muscle	GULP1
NAALADL23	2.46E-22	0.636592	0.608	0.351	4.93E-19	Skeletal muscle	NAALADL2
ADIRF2	2.56E-22	1.208579	0.513	0.271	5.12E-19	Skeletal muscle	ADIRF
ADCY3	8.75E-22	0.759682	0.52	0.271	1.75E-18	Skeletal muscle	ADCY3
AL365273.21	1.80E-21	0.566131	0.527	0.288	3.61E-18	Skeletal muscle	AL365273.2
ARHGAP293	3.20E-21	0.562544	0.506	0.233	6.41E-18	Skeletal muscle	ARHGAP29
CPEB2	1.13E-20	0.678406	0.589	0.351	2.26E-17	Skeletal muscle	CPEB2
CLIC42	1.54E-20	0.840927	0.506	0.225	3.08E-17	Skeletal muscle	CLIC4
COL1A22	2.65E-20	0.557407	0.508	0.269	5.29E-17	Skeletal muscle	COL1A2
FAM129A	8.60E-20	0.543029	0.641	0.428	1.72E-16	Skeletal muscle	FAM129A
PLS33	1.74E-19	0.967361	0.504	0.207	3.47E-16	Skeletal muscle	PLS3
STARD134	3.67E-19	0.526379	0.553	0.268	7.34E-16	Skeletal muscle	STARD13
ZBTB162	3.51E-18	0.806453	0.537	0.276	7.01E-15	Skeletal muscle	ZBTB16
PDE4D3	4.27E-17	1.59448	0.671	0.621	8.54E-14	Skeletal muscle	PDE4D
MAMDC22	5.78E-17	1.128909	0.634	0.508	1.16E-13	Skeletal muscle	MAMDC2
ST73	5.49E-16	0.541757	0.548	0.318	1.10E-12	Skeletal muscle	ST7
THRB3	2.53E-15	0.539135	0.52	0.247	5.06E-12	Skeletal muscle	THRB
DAAM13	9.45E-15	1.118206	0.525	0.331	1.89E-11	Skeletal muscle	DAAM1
TSC22D1	1.85E-11	0.772211	0.582	0.446	3.70E-08	Skeletal muscle	TSC22D1
RAPGEF21	1.92E-08	0.623605	0.565	0.454	3.83E-05	Skeletal muscle	RAPGEF2
STK38L2	2.01E-08	0.757286	0.527	0.379	4.01E-05	Skeletal muscle	STK38L
NBEA1	0.000145	0.520915	0.506	0.373	0.290706	Skeletal muscle	NBEA
LAMP3	0	2.583344	0.947	0.171	0	Dendritic cells	LAMP3
FLT3	2.08E-296	2.368386	0.937	0.15	4.15E-293	Dendritic cells	FLT3
IL151	6.05E-282	2.498873	0.959	0.241	1.21E-278	Dendritic cells	IL15
CD832	6.95E-282	2.48188	0.954	0.229	1.39E-278	Dendritic cells	CD83
MARCKS1	1.20E-279	1.940295	0.939	0.226	2.40E-276	Dendritic cells	MARCKS
FSCN1	3.07E-276	1.568169	0.85	0.187	6.14E-273	Dendritic cells	FSCN1
GPC5	3.28E-274	3.019431	0.931	0.159	6.56E-271	Dendritic cells	GPC5
RNF144B2	1.92E-273	1.820953	0.949	0.23	3.85E-270	Dendritic cells	RNF144B
TMCC3	2.07E-272	1.979674	0.926	0.169	4.15E-269	Dendritic cells	TMCC3
NRP21	4.44E-271	1.588606	0.924	0.172	8.88E-268	Dendritic cells	NRP2
FAM49A2	5.19E-271	2.155051	0.959	0.213	1.04E-267	Dendritic cells	FAM49A
IDO1	3.62E-267	2.014085	0.822	0.127	7.23E-264	Dendritic cells	IDO1
WNT5B	1.17E-265	2.429396	0.949	0.254	2.34E-262	Dendritic cells	WNT5B
L3MBTL41	4.23E-263	2.377057	0.954	0.227	8.46E-260	Dendritic cells	L3MBTL4
PDCD1LG2	2.13E-262	1.290429	0.881	0.168	4.26E-259	Dendritic cells	PDCD1LG2
ETV3	1.90E-260	1.556825	0.942	0.275	3.80E-257	Dendritic cells	ETV3
ANKRD33B	2.40E-259	1.95302	0.924	0.204	4.79E-256	Dendritic cells	ANKRD33B
ARHGAP221	6.79E-259	2.119879	0.909	0.156	1.36E-255	Dendritic cells	ARHGAP22
TSPAN33	6.75E-256	1.252429	0.86	0.194	1.35E-252	Dendritic cells	TSPAN33
JADE3	2.33E-254	1.437885	0.888	0.176	4.66E-251	Dendritic cells	JADE3
SLC22A232	2.16E-248	2.163781	0.959	0.298	4.32E-245	Dendritic cells	SLC22A23
PLXNC1	2.00E-246	2.09113	0.954	0.291	4.01E-243	Dendritic cells	PLXNC1
HLA-DRB52	5.38E-246	1.620157	0.926	0.315	1.08E-242	Dendritic cells	HLA-DRB5
DAPP11	1.61E-244	1.999034	0.964	0.348	3.22E-241	Dendritic cells	DAPP1
TBC1D93	2.47E-244	1.967686	0.947	0.245	4.93E-241	Dendritic cells	TBC1D9
KDM2B	8.07E-240	2.053603	0.987	0.434	1.61E-236	Dendritic cells	KDM2B
CD274	8.57E-240	1.236295	0.83	0.151	1.71E-236	Dendritic cells	CD274
ENOX13	8.03E-238	2.051937	0.934	0.236	1.61E-234	Dendritic cells	ENOX1
P2RY141	9.50E-238	1.818461	0.843	0.15	1.90E-234	Dendritic cells	P2RY14
KYNU2	3.51E-236	1.867687	0.881	0.143	7.01E-233	Dendritic cells	KYNU
UVRAG1	7.21E-236	2.06252	0.995	0.626	1.44E-232	Dendritic cells	UVRAG
ABCC4	3.08E-235	2.222514	0.952	0.356	6.16E-232	Dendritic cells	ABCC4
IDO2	1.10E-234	1.822884	0.807	0.13	2.19E-231	Dendritic cells	IDO2
GPR157	1.21E-234	1.678062	0.883	0.235	2.43E-231	Dendritic cells	GPR157
ST3GAL61	4.96E-234	2.071536	0.904	0.193	9.92E-231	Dendritic cells	ST3GAL6
SLC41A2	2.92E-233	1.544489	0.896	0.195	5.84E-230	Dendritic cells	SLC41A2
CCL19	6.88E-231	1.293161	0.744	0.134	1.38E-227	Dendritic cells	CCL19
ADAM122	8.86E-230	1.77061	0.909	0.219	1.77E-226	Dendritic cells	ADAM12
CERS6	9.19E-230	2.09306	0.982	0.546	1.84E-226	Dendritic cells	CERS6
TYROBP	2.16E-227	0.87128	0.756	0.169	4.31E-224	Dendritic cells	TYROBP
RASSF41	3.78E-227	1.99696	0.911	0.185	7.56E-224	Dendritic cells	RASSF4
ARHGAP104	7.03E-227	2.074537	0.959	0.364	1.41E-223	Dendritic cells	ARHGAP10
BMP2K4	2.33E-225	2.04289	0.967	0.391	4.66E-222	Dendritic cells	BMP2K
GRK32	7.15E-222	1.82985	0.962	0.326	1.43E-218	Dendritic cells	GRK3
BIRC3	6.86E-221	2.401962	0.972	0.578	1.37E-217	Dendritic cells	BIRC3
HLA-DRB12	2.33E-220	1.259078	0.911	0.25	4.66E-217	Dendritic cells	HLA-DRB1
NAV11	2.92E-220	1.697463	0.952	0.257	5.83E-217	Dendritic cells	NAV1
RGS11	7.25E-220	1.419919	0.924	0.356	1.45E-216	Dendritic cells	RGS1
MARCKSL1	9.76E-220	1.516186	0.822	0.254	1.95E-216	Dendritic cells	MARCKSL1
FGD22	3.71E-219	1.191423	0.84	0.171	7.42E-216	Dendritic cells	FGD2
SLCO5A11	9.57E-219	1.999816	0.982	0.572	1.91E-215	Dendritic cells	SLCO5A1
TBC1D81	2.64E-218	1.907229	0.939	0.271	5.27E-215	Dendritic cells	TBC1D8
MOB1B	2.05E-215	2.058872	0.931	0.309	4.09E-212	Dendritic cells	MOB1B
HLA-DQA11	6.75E-215	1.316799	0.843	0.228	1.35E-211	Dendritic cells	HLA-DQA1
CLIC2	2.82E-214	1.43212	0.868	0.202	5.64E-211	Dendritic cells	CLIC2
VOPP11	3.51E-212	1.780127	0.985	0.655	7.02E-209	Dendritic cells	VOPP1
FMNL24	1.81E-211	1.690055	0.954	0.277	3.62E-208	Dendritic cells	FMNL2
BASP12	7.12E-211	1.928214	0.873	0.215	1.42E-207	Dendritic cells	BASP1
TMEM176B	1.62E-207	1.223684	0.812	0.211	3.23E-204	Dendritic cells	TMEM176B
CSF2RA1	2.90E-207	1.788498	0.843	0.165	5.81E-204	Dendritic cells	CSF2RA
CDKN1A	2.72E-204	1.011452	0.789	0.228	5.43E-201	Dendritic cells	CDKN1A
TNFAIP23	4.61E-204	1.708123	0.886	0.202	9.22E-201	Dendritic cells	TNFAIP2
SAMSN1	9.72E-203	2.029646	0.967	0.557	1.94E-199	Dendritic cells	SAMSN1
DLGAP21	9.19E-202	2.100095	0.845	0.168	1.84E-198	Dendritic cells	DLGAP2
ARNT21	2.28E-201	1.069076	0.754	0.132	4.55E-198	Dendritic cells	ARNT2
ARNTL2	2.14E-199	1.23038	0.83	0.177	4.27E-196	Dendritic cells	ARNTL2
EPSTI11	5.92E-195	2.128062	0.937	0.406	1.18E-191	Dendritic cells	EPSTI1
NR4A3	1.55E-193	1.205419	0.749	0.168	3.10E-190	Dendritic cells	NR4A3
RAB8B	1.17E-192	1.633255	0.987	0.602	2.33E-189	Dendritic cells	RAB8B
LRRK11	7.99E-191	1.867393	0.863	0.193	1.60E-187	Dendritic cells	LRRK1
CIITA2	4.07E-190	1.173074	0.822	0.206	8.15E-187	Dendritic cells	CIITA
MPZL11	4.35E-189	1.202234	0.878	0.238	8.70E-186	Dendritic cells	MPZL1
CCDC88A1	5.96E-186	1.599613	0.919	0.329	1.19E-182	Dendritic cells	CCDC88A
MGLL2	1.60E-184	1.531434	0.843	0.196	3.20E-181	Dendritic cells	MGLL
CD200	3.41E-184	1.218988	0.853	0.229	6.82E-181	Dendritic cells	CD200
PSD33	2.00E-183	1.489099	0.921	0.279	4.00E-180	Dendritic cells	PSD3
DUSP5	9.89E-183	1.094499	0.784	0.224	1.98E-179	Dendritic cells	DUSP5
SCN11A	3.54E-182	0.872682	0.683	0.128	7.08E-179	Dendritic cells	SCN11A
ST3GAL5	4.61E-181	1.349037	0.934	0.362	9.21E-178	Dendritic cells	ST3GAL5
FAM129A1	3.63E-179	1.808665	0.944	0.425	7.25E-176	Dendritic cells	FAM129A
ACSM1	1.84E-177	0.737432	0.68	0.16	3.68E-174	Dendritic cells	ACSM1
HLA-DPB12	6.98E-175	1.655309	0.883	0.344	1.40E-171	Dendritic cells	HLA-DPB1
PELI11	8.46E-175	1.483809	0.972	0.474	1.69E-171	Dendritic cells	PELI1
LIMCH13	5.30E-174	1.842214	0.86	0.244	1.06E-170	Dendritic cells	LIMCH1
TNFSF13B2	4.43E-173	1.385356	0.878	0.291	8.86E-170	Dendritic cells	TNFSF13B
ANTXR21	1.20E-172	1.455403	0.977	0.535	2.41E-169	Dendritic cells	ANTXR2
ELOVL7	8.47E-172	0.648674	0.695	0.14	1.69E-168	Dendritic cells	ELOVL7
KIF2A	8.63E-171	1.775909	0.972	0.678	1.73E-167	Dendritic cells	KIF2A
RASGRP32	2.47E-170	1.011818	0.817	0.231	4.94E-167	Dendritic cells	RASGRP3
TYMP1	1.45E-169	0.933272	0.81	0.222	2.89E-166	Dendritic cells	TYMP
PLEK1	1.67E-168	1.114156	0.81	0.18	3.34E-165	Dendritic cells	PLEK
NDE1	2.07E-167	1.579194	0.947	0.455	4.13E-164	Dendritic cells	NDE1
POU6F2	1.47E-166	0.766171	0.703	0.148	2.94E-163	Dendritic cells	POU6F2
TXN	2.69E-166	1.312596	0.794	0.29	5.38E-163	Dendritic cells	TXN
RAB301	3.01E-166	1.288465	0.942	0.405	6.01E-163	Dendritic cells	RAB30
ACSM3	7.68E-163	1.976551	0.792	0.229	1.54E-159	Dendritic cells	ACSM3
ALDH21	5.65E-162	0.764235	0.807	0.204	1.13E-158	Dendritic cells	ALDH2
DUSP4	8.44E-162	0.746881	0.695	0.202	1.69E-158	Dendritic cells	DUSP4
MBOAT2	6.02E-161	0.683199	0.726	0.171	1.20E-157	Dendritic cells	MBOAT2
CD861	1.37E-160	0.846555	0.713	0.155	2.74E-157	Dendritic cells	CD86
ID2	1.85E-160	1.505321	0.855	0.317	3.71E-157	Dendritic cells	ID2
CSF2RB	1.95E-159	0.702702	0.703	0.135	3.90E-156	Dendritic cells	CSF2RB
WDFY42	5.00E-158	1.165356	0.797	0.161	1.00E-154	Dendritic cells	WDFY4
FGD43	4.02E-157	1.338254	0.881	0.253	8.04E-154	Dendritic cells	FGD4
GRSF1	1.08E-154	1.423011	0.883	0.38	2.17E-151	Dendritic cells	GRSF1
MMP21	1.72E-154	0.509613	0.708	0.193	3.43E-151	Dendritic cells	MMP2
TP63	4.24E-154	1.167803	0.683	0.171	8.47E-151	Dendritic cells	TP63
DOCK101	5.31E-154	1.126231	0.997	0.837	1.06E-150	Dendritic cells	DOCK10
ZNF366	7.51E-152	1.350331	0.741	0.151	1.50E-148	Dendritic cells	ZNF366
PTPN11	8.60E-152	1.403426	0.931	0.519	1.72E-148	Dendritic cells	PTPN1
SHTN11	5.79E-150	0.9144	0.792	0.184	1.16E-146	Dendritic cells	SHTN1
POGLUT11	1.59E-148	1.428493	0.86	0.345	3.18E-145	Dendritic cells	POGLUT1
MREG1	2.04E-147	0.747989	0.817	0.261	4.08E-144	Dendritic cells	MREG
PIEZO2	3.05E-146	0.777467	0.69	0.144	6.10E-143	Dendritic cells	PIEZO2
KLF6	6.50E-146	1.121412	0.926	0.439	1.30E-142	Dendritic cells	KLF6
SWAP703	1.37E-145	1.318588	0.848	0.25	2.74E-142	Dendritic cells	SWAP70
ADAM281	4.64E-144	1.021781	0.764	0.2	9.27E-141	Dendritic cells	ADAM28
DUSP11	5.50E-144	0.789118	0.792	0.301	1.10E-140	Dendritic cells	DUSP1
RBM471	7.32E-144	0.967902	0.873	0.243	1.46E-140	Dendritic cells	RBM47
ALCAM2	6.94E-143	1.559351	0.84	0.328	1.39E-139	Dendritic cells	ALCAM
NET11	8.20E-143	0.793848	0.784	0.238	1.64E-139	Dendritic cells	NET1
ATP1B1	4.03E-142	0.547777	0.703	0.228	8.05E-139	Dendritic cells	ATP1B1
CDHR3	2.31E-139	1.19372	0.919	0.415	4.62E-136	Dendritic cells	CDHR3
IRF4	3.59E-139	0.857207	0.751	0.234	7.18E-136	Dendritic cells	IRF4
PAK11	5.38E-139	0.922111	0.825	0.253	1.08E-135	Dendritic cells	PAK1
IER3	1.27E-138	0.853605	0.736	0.239	2.53E-135	Dendritic cells	IER3
LYST1	2.94E-138	1.196373	0.975	0.615	5.87E-135	Dendritic cells	LYST
PLEKHG14	3.28E-138	1.131044	0.878	0.296	6.56E-135	Dendritic cells	PLEKHG1
EYA42	4.25E-138	1.09021	0.731	0.202	8.50E-135	Dendritic cells	EYA4
RFTN11	6.86E-138	1.281158	0.967	0.645	1.37E-134	Dendritic cells	RFTN1
TREML1	6.40E-136	0.680491	0.589	0.109	1.28E-132	Dendritic cells	TREML1
UBE2E25	2.68E-135	1.195442	0.964	0.432	5.36E-132	Dendritic cells	UBE2E2
TVP23A	7.52E-134	0.92006	0.632	0.132	1.50E-130	Dendritic cells	TVP23A
NETO2	8.60E-134	0.773757	0.647	0.184	1.72E-130	Dendritic cells	NETO2
SINHCAF	2.70E-132	1.277443	0.883	0.451	5.40E-129	Dendritic cells	SINHCAF
CD80	2.80E-132	1.209304	0.64	0.153	5.60E-129	Dendritic cells	CD80
HLA-DQB11	6.80E-132	0.815163	0.759	0.306	1.36E-128	Dendritic cells	HLA-DQB1
HIVEP11	9.70E-132	1.296895	0.944	0.553	1.94E-128	Dendritic cells	HIVEP1
MNDA	2.20E-131	0.558697	0.607	0.196	4.41E-128	Dendritic cells	MNDA
ALOX52	4.27E-131	0.570799	0.703	0.192	8.53E-128	Dendritic cells	ALOX5
CST32	7.03E-131	0.898169	0.741	0.247	1.41E-127	Dendritic cells	CST3
H2AFY2	2.13E-128	0.990436	0.774	0.26	4.26E-125	Dendritic cells	H2AFY2
SLC20A11	3.10E-128	1.030692	0.904	0.404	6.20E-125	Dendritic cells	SLC20A1
NABP11	7.48E-128	1.368204	0.937	0.498	1.50E-124	Dendritic cells	NABP1
HCK1	1.18E-127	1.024628	0.754	0.137	2.36E-124	Dendritic cells	HCK
RUFY33	1.98E-127	1.281878	0.901	0.415	3.96E-124	Dendritic cells	RUFY3
GBP1	9.56E-127	0.865157	0.845	0.389	1.91E-123	Dendritic cells	GBP1
SPECC12	1.20E-126	1.168549	0.838	0.28	2.41E-123	Dendritic cells	SPECC1
SLC24A31	2.40E-126	1.157836	0.721	0.156	4.80E-123	Dendritic cells	SLC24A3
NECTIN22	2.46E-126	0.506928	0.685	0.178	4.92E-123	Dendritic cells	NECTIN2
SLC9A92	1.15E-125	1.181436	0.959	0.651	2.30E-122	Dendritic cells	SLC9A9
MAP3K14	1.57E-125	1.389059	0.909	0.44	3.13E-122	Dendritic cells	MAP3K14
ADAM192	6.49E-125	1.210223	0.891	0.41	1.30E-121	Dendritic cells	ADAM19
TSPAN13	1.93E-123	0.876583	0.657	0.186	3.85E-120	Dendritic cells	TSPAN13
STRIP21	2.38E-122	1.20862	0.599	0.121	4.76E-119	Dendritic cells	STRIP2
MTSS12	6.25E-122	0.782649	0.84	0.263	1.25E-118	Dendritic cells	MTSS1
AFDN2	8.63E-120	0.626955	0.827	0.298	1.73E-116	Dendritic cells	AFDN
DAAM14	2.26E-119	1.060313	0.878	0.327	4.51E-116	Dendritic cells	DAAM1
MAP3K131	6.42E-119	1.080778	0.792	0.246	1.28E-115	Dendritic cells	MAP3K13
SLC43A21	2.93E-118	0.642874	0.703	0.188	5.86E-115	Dendritic cells	SLC43A2
CHST7	7.22E-118	0.813388	0.683	0.259	1.44E-114	Dendritic cells	CHST7
SMOC1	3.82E-116	0.686033	0.65	0.17	7.65E-113	Dendritic cells	SMOC1
CCR71	4.76E-116	1.164251	0.921	0.576	9.52E-113	Dendritic cells	CCR7
ZEB25	3.49E-114	0.832667	0.931	0.368	6.99E-111	Dendritic cells	ZEB2
GPR137B1	5.86E-114	0.700528	0.761	0.254	1.17E-110	Dendritic cells	GPR137B
SOCS1	1.11E-112	0.666143	0.698	0.283	2.21E-109	Dendritic cells	SOCS1
RNF1503	4.47E-111	0.937357	0.769	0.223	8.95E-108	Dendritic cells	RNF150
GADD45A	3.86E-109	0.671126	0.665	0.257	7.72E-106	Dendritic cells	GADD45A
CCL22	1.95E-107	1.528216	0.541	0.162	3.89E-104	Dendritic cells	CCL22
RAB101	5.70E-107	1.070564	0.939	0.604	1.14E-103	Dendritic cells	RAB10
ROR12	2.64E-106	1.166945	0.711	0.227	5.29E-103	Dendritic cells	ROR1
ENTHD1	2.74E-104	0.839289	0.533	0.135	5.48E-101	Dendritic cells	ENTHD1
ATP2B11	3.30E-104	1.173898	0.947	0.62	6.61E-101	Dendritic cells	ATP2B1
TMEM150C1	2.04E-103	1.303039	0.708	0.202	4.08E-100	Dendritic cells	TMEM150C
NRG21	1.22E-102	1.132737	0.693	0.179	2.45E-99	Dendritic cells	NRG2
EPB41L4A3	9.52E-102	0.833997	0.754	0.258	1.90E-98	Dendritic cells	EPB41L4A
SRGAP13	8.10E-101	0.93103	0.794	0.27	1.62E-97	Dendritic cells	SRGAP1
ST8SIA41	1.27E-100	1.326932	0.916	0.599	2.55E-97	Dendritic cells	ST8SIA4
BCL2L11	8.89E-100	1.021571	0.698	0.26	1.78E-96	Dendritic cells	BCL2L11
ABTB21	1.31E-98	1.243672	0.678	0.18	2.62E-95	Dendritic cells	ABTB2
EDIL31	1.69E-98	0.819443	0.528	0.105	3.38E-95	Dendritic cells	EDIL3
TRAF1	4.79E-98	1.354133	0.898	0.539	9.57E-95	Dendritic cells	TRAF1
RAB311	1.02E-97	0.574004	0.701	0.195	2.05E-94	Dendritic cells	RAB31
MCF2	1.80E-97	0.54651	0.571	0.178	3.60E-94	Dendritic cells	MCF2
HDAC95	4.08E-97	0.938738	0.769	0.281	8.16E-94	Dendritic cells	HDAC9
ATP11C1	5.21E-97	1.042203	0.873	0.449	1.04E-93	Dendritic cells	ATP11C
TTYH2	1.12E-96	0.895914	0.718	0.228	2.25E-93	Dendritic cells	TTYH2
KIF26B2	6.96E-96	1.567876	0.662	0.178	1.39E-92	Dendritic cells	KIF26B
SSPN1	1.61E-93	0.509683	0.632	0.187	3.22E-90	Dendritic cells	SSPN
CRIP1	3.76E-90	0.890018	0.688	0.354	7.52E-87	Dendritic cells	CRIP1
JAK22	8.87E-89	0.834853	0.863	0.438	1.77E-85	Dendritic cells	JAK2
LGALS2	1.37E-88	0.921166	0.602	0.178	2.73E-85	Dendritic cells	LGALS2
IRF82	1.68E-88	0.845513	0.581	0.179	3.35E-85	Dendritic cells	IRF8
ITGB8	3.27E-87	0.729045	0.551	0.175	6.53E-84	Dendritic cells	ITGB8
TFRC1	7.87E-86	0.684447	0.782	0.372	1.57E-82	Dendritic cells	TFRC
VAV22	8.78E-86	0.52689	0.688	0.202	1.76E-82	Dendritic cells	VAV2
LGALS1	2.25E-84	0.636342	0.66	0.313	4.50E-81	Dendritic cells	LGALS1
SLAMF7	2.84E-84	0.5256	0.591	0.227	5.69E-81	Dendritic cells	SLAMF7
ARHGAP312	1.65E-83	0.703258	0.84	0.398	3.31E-80	Dendritic cells	ARHGAP31
NFKBIA	7.29E-83	0.850357	0.749	0.359	1.46E-79	Dendritic cells	NFKBIA
FAM126A2	8.71E-83	0.921992	0.777	0.329	1.74E-79	Dendritic cells	FAM126A
GAB22	3.53E-81	1.035155	0.789	0.313	7.06E-78	Dendritic cells	GAB2
ITGA41	6.03E-80	0.860577	0.934	0.597	1.21E-76	Dendritic cells	ITGA4
CYP7B11	3.46E-78	0.725835	0.624	0.232	6.91E-75	Dendritic cells	CYP7B1
RNF19B	4.69E-77	0.680802	0.698	0.233	9.39E-74	Dendritic cells	RNF19B
ARAP21	2.88E-76	0.95199	0.952	0.651	5.76E-73	Dendritic cells	ARAP2
CHRNA7	1.42E-75	0.669439	0.51	0.147	2.85E-72	Dendritic cells	CHRNA7
TCF46	1.66E-75	0.50628	0.865	0.342	3.33E-72	Dendritic cells	TCF4
TBC1D41	1.89E-73	0.733212	0.914	0.515	3.79E-70	Dendritic cells	TBC1D4
PLCL11	3.05E-71	0.820379	0.949	0.655	6.10E-68	Dendritic cells	PLCL1
LMO41	6.52E-71	0.653274	0.708	0.277	1.30E-67	Dendritic cells	LMO4
CD401	9.41E-70	0.878706	0.622	0.197	1.88E-66	Dendritic cells	CD40
TNFAIP31	3.84E-69	0.600491	0.876	0.486	7.69E-66	Dendritic cells	TNFAIP3
SLC9A71	6.98E-69	0.957672	0.607	0.27	1.40E-65	Dendritic cells	SLC9A7
NTN11	7.64E-67	0.870106	0.586	0.168	1.53E-63	Dendritic cells	NTN1
SRGN1	3.38E-66	1.134388	0.863	0.552	6.75E-63	Dendritic cells	SRGN
GTDC12	9.40E-66	0.600592	0.876	0.448	1.88E-62	Dendritic cells	GTDC1
NFKBIZ1	2.01E-65	0.675692	0.789	0.424	4.02E-62	Dendritic cells	NFKBIZ
SLC1A21	1.03E-64	0.972443	0.584	0.141	2.05E-61	Dendritic cells	SLC1A2
RAPH12	9.32E-59	0.652192	0.652	0.266	1.86E-55	Dendritic cells	RAPH1
UBC1	7.63E-58	0.709538	0.891	0.602	1.53E-54	Dendritic cells	UBC
KCNMA12	6.07E-56	0.609277	0.607	0.174	1.21E-52	Dendritic cells	KCNMA1
NFKB1	7.74E-53	1.016447	0.871	0.625	1.55E-49	Dendritic cells	NFKB1
BCL11A1	3.78E-52	0.663986	0.602	0.176	7.56E-49	Dendritic cells	BCL11A
LITAF1	7.29E-52	0.669938	0.835	0.474	1.46E-48	Dendritic cells	LITAF
FTH1	1.63E-51	0.883666	0.822	0.554	3.26E-48	Dendritic cells	FTH1
IL21R	5.17E-51	0.672684	0.754	0.44	1.03E-47	Dendritic cells	IL21R
ROBO13	2.33E-49	0.670009	0.675	0.301	4.65E-46	Dendritic cells	ROBO1
PTMA1	9.85E-49	1.015802	0.919	0.719	1.97E-45	Dendritic cells	PTMA
KHDRBS3	5.18E-48	0.720934	0.505	0.199	1.04E-44	Dendritic cells	KHDRBS3
BTBD3	4.48E-47	0.538313	0.546	0.196	8.96E-44	Dendritic cells	BTBD3
MALT1	6.11E-46	0.902679	0.85	0.596	1.22E-42	Dendritic cells	MALT1
BTLA	2.72E-45	0.572603	0.612	0.358	5.43E-42	Dendritic cells	BTLA
MCOLN21	3.96E-44	0.845972	0.604	0.318	7.91E-41	Dendritic cells	MCOLN2
SAT11	5.17E-40	0.514975	0.787	0.464	1.03E-36	Dendritic cells	SAT1
TMSB101	6.33E-39	1.076311	0.926	0.782	1.27E-35	Dendritic cells	TMSB10
ST74	1.26E-37	0.628015	0.627	0.318	2.53E-34	Dendritic cells	ST7
VIM1	6.86E-36	0.590756	0.891	0.65	1.37E-32	Dendritic cells	VIM
TMEM178B1	7.65E-29	0.655727	0.52	0.212	1.53E-25	Dendritic cells	TMEM178B
HELLS1	1.29E-28	0.667186	0.571	0.316	2.57E-25	Dendritic cells	HELLS
B2M1	7.83E-25	0.549072	0.997	0.95	1.57E-21	Dendritic cells	B2M
TMSB4X1	1.10E-24	0.734745	0.98	0.885	2.20E-21	Dendritic cells	TMSB4X
CPEB21	9.02E-18	0.555663	0.584	0.351	1.80E-14	Dendritic cells	CPEB2
MAGI31	9.16E-16	0.694737	0.591	0.416	1.83E-12	Dendritic cells	MAGI3
EEF1A11	3.23E-15	0.637059	0.952	0.841	6.46E-12	Dendritic cells	EEF1A1
ACTB1	1.38E-11	0.742358	0.944	0.862	2.76E-08	Dendritic cells	ACTB
