	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Tmem131l4	2.08E-08	0.849348405	0.338	0.226	0.00059832	SMC	Tmem131l
Ccnd23	2.13E-08	0.786826692	0.228	0.126	0.000611578	SMC	Ccnd2
Ston12	2.15E-08	0.585555448	0.183	0.09	0.000617995	SMC	Ston1
Map4k43	2.20E-08	0.565796519	0.605	0.516	0.000632466	SMC	Map4k4
Farp14	2.21E-08	0.670743058	0.395	0.266	0.000635152	SMC	Farp1
Afap12	2.35E-08	0.757883236	0.395	0.276	0.000673757	SMC	Afap1
Ptms1	2.50E-08	0.651630487	0.205	0.108	0.00071889	SMC	Ptms
Spon11	2.72E-08	0.69433177	0.217	0.113	0.000781969	SMC	Spon1
Adam222	2.80E-08	0.620181457	0.202	0.102	0.000803633	SMC	Adam22
Plce12	3.27E-08	0.458064483	0.513	0.367	0.000939444	SMC	Plce1
Sik32	3.42E-08	0.501067423	0.65	0.55	0.000983627	SMC	Sik3
Lars21	3.70E-08	0.724864644	0.221	0.119	0.001063291	SMC	Lars2
Kitl3	4.52E-08	0.596090053	0.376	0.248	0.00129911	SMC	Kitl
Nckap52	4.79E-08	0.791924292	0.388	0.258	0.001376698	SMC	Nckap5
Itih52	6.11E-08	0.542995397	0.433	0.292	0.001755816	SMC	Itih5
Abr5	6.56E-08	0.538386319	0.312	0.189	0.001884794	SMC	Abr
Tmem22	9.23E-08	0.389374322	0.217	0.113	0.002652078	SMC	Tmem2
Col6a11	9.91E-08	0.518350675	0.274	0.163	0.00284767	SMC	Col6a1
Angpt21	1.29E-07	0.763605294	0.175	0.088	0.003717503	SMC	Angpt2
Ptprf2	1.44E-07	0.527249356	0.152	0.072	0.004130381	SMC	Ptprf
Ralgapa22	1.50E-07	0.355674262	0.555	0.399	0.004301404	SMC	Ralgapa2
Mfhas13	1.51E-07	0.506349048	0.373	0.242	0.004339297	SMC	Mfhas1
Camta12	1.74E-07	0.674528774	0.335	0.226	0.005007244	SMC	Camta1
Fam13c1	1.92E-07	0.642797099	0.228	0.13	0.005510985	SMC	Fam13c
Agtr1a2	1.98E-07	0.808051663	0.156	0.075	0.005701997	SMC	Agtr1a
Mical31	2.07E-07	0.687073402	0.449	0.332	0.00593916	SMC	Mical3
Hp1	2.09E-07	1.223145799	0.144	0.069	0.005995952	SMC	Hp
Slc44a23	2.25E-07	0.559500497	0.205	0.112	0.006467505	SMC	Slc44a2
Wdfy1	2.64E-07	0.589328417	0.293	0.187	0.007586255	SMC	Wdfy1
Kank21	2.65E-07	0.711356806	0.243	0.144	0.00761635	SMC	Kank2
Ntrk22	3.04E-07	0.673791101	0.335	0.22	0.008742528	SMC	Ntrk2
Calm14	3.39E-07	0.554814404	0.148	0.071	0.009750544	SMC	Calm1
Cacnb43	3.47E-07	0.782267628	0.19	0.102	0.009955782	SMC	Cacnb4
Slc35d11	3.50E-07	0.852944758	0.232	0.14	0.010040383	SMC	Slc35d1
Trim26	3.64E-07	0.653901461	0.262	0.157	0.010455788	SMC	Trim2
Fhl13	3.65E-07	0.593362553	0.224	0.127	0.010493816	SMC	Fhl1
Sox61	4.18E-07	0.392759458	0.867	0.823	0.012014511	SMC	Sox6
Ftl12	5.01E-07	0.261864232	0.125	0.055	0.014398169	SMC	Ftl1
Nudt41	5.31E-07	0.691973873	0.24	0.147	0.015244235	SMC	Nudt4
Slc38a22	5.42E-07	0.498181361	0.365	0.252	0.015578141	SMC	Slc38a2
Dmpk1	5.60E-07	0.637467275	0.186	0.103	0.0160811	SMC	Dmpk
mt-Co15	5.71E-07	0.546986561	0.171	0.086	0.016403309	SMC	mt-Co1
Dag12	5.96E-07	0.697545268	0.357	0.265	0.017120289	SMC	Dag1
Rock22	6.12E-07	0.523312039	0.719	0.679	0.017593506	SMC	Rock2
Sptbn13	6.19E-07	0.26374115	0.791	0.585	0.01779289	SMC	Sptbn1
Adap22	7.10E-07	0.72103509	0.384	0.279	0.020394642	SMC	Adap2
Zbtb101	8.90E-07	0.491763928	0.133	0.063	0.025562709	SMC	Zbtb10
Pkdcc	1.05E-06	0.52537558	0.11	0.048	0.030022977	SMC	Pkdcc
Snrk2	1.08E-06	0.599032886	0.365	0.25	0.031064268	SMC	Snrk
Adamts13	1.16E-06	0.336982522	0.125	0.057	0.03324969	SMC	Adamts1
Myl11	1.20E-06	0.374446903	0.293	0.175	0.034519104	SMC	Myl1
Bmp62	1.25E-06	0.471970206	0.167	0.084	0.036018313	SMC	Bmp6
Sntb12	1.27E-06	0.335237589	0.361	0.223	0.036541582	SMC	Sntb1
Ppp2r3a3	1.29E-06	0.695155513	0.418	0.329	0.037131924	SMC	Ppp2r3a
Slc12a41	1.32E-06	0.601617878	0.16	0.083	0.037925426	SMC	Slc12a4
Akt35	1.32E-06	0.411244121	0.559	0.426	0.037967319	SMC	Akt3
Ndrg21	1.84E-06	0.63259059	0.148	0.076	0.052720079	SMC	Ndrg2
Clasp2	1.86E-06	0.695472583	0.521	0.459	0.053499959	SMC	Clasp2
Daam12	1.87E-06	0.961768636	0.433	0.357	0.053618981	SMC	Daam1
Vasp	2.11E-06	0.449324043	0.167	0.089	0.060509914	SMC	Vasp
Atp10a3	2.11E-06	0.700202185	0.297	0.201	0.06072425	SMC	Atp10a
Fzd42	2.16E-06	0.588891642	0.247	0.154	0.062118583	SMC	Fzd4
Plec3	2.26E-06	0.481593819	0.293	0.186	0.06492193	SMC	Plec
Cbfa2t33	2.41E-06	0.370477264	0.141	0.067	0.069260027	SMC	Cbfa2t3
Fchsd23	2.53E-06	0.559256485	0.452	0.361	0.072607898	SMC	Fchsd2
Sobp2	2.74E-06	0.510421599	0.183	0.098	0.078851454	SMC	Sobp
Ifi27l2a1	2.76E-06	0.713503581	0.129	0.063	0.079333758	SMC	Ifi27l2a
Tspan122	3.39E-06	0.31804341	0.316	0.196	0.097273715	SMC	Tspan12
Kcnb11	3.97E-06	0.594812881	0.186	0.106	0.114024628	SMC	Kcnb1
Strn32	4.03E-06	0.448009347	0.673	0.633	0.115632662	SMC	Strn3
Cers41	4.38E-06	0.576157693	0.183	0.103	0.125780412	SMC	Cers4
Gpc43	4.39E-06	0.75197621	0.224	0.14	0.126190432	SMC	Gpc4
Phactr43	5.50E-06	0.692397632	0.297	0.208	0.157997461	SMC	Phactr4
