	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PDGFRA	0	1.464793545	0.356	0.044	0	ASPC	PDGFRA
CREB5	0	1.451682303	0.42	0.183	0	ASPC	CREB5
LPAR1	0	1.446402664	0.441	0.144	0	ASPC	LPAR1
BICC1	0	1.446329718	0.681	0.296	0	ASPC	BICC1
ABI3BP	0	1.443497361	0.65	0.317	0	ASPC	ABI3BP
MTRNR2L8	0	1.439526361	0.154	0.021	0	ASPC	MTRNR2L8
TNXB	0	1.439170437	0.397	0.105	0	ASPC	TNXB
PID1	0	1.42341146	0.583	0.241	0	ASPC	PID1
PCOLCE	0	1.422308099	0.33	0.051	0	ASPC	PCOLCE
USP53	0	1.404533532	0.565	0.339	0	ASPC	USP53
COL12A1	0	1.402047706	0.434	0.175	0	ASPC	COL12A1
IGFBP3	0	1.394813978	0.249	0.074	0	ASPC	IGFBP3
ITGBL1	0	1.394301526	0.218	0.028	0	ASPC	ITGBL1
ZFP36	0	1.389976629	0.328	0.162	0	ASPC	ZFP36
CILP	0	1.379402808	0.249	0.025	0	ASPC	CILP
SPOCK1	0	1.374317274	0.261	0.037	0	ASPC	SPOCK1
MEDAG	0	1.372617494	0.33	0.108	0	ASPC	MEDAG
TNFAIP6	0	1.37221455	0.151	0.017	0	ASPC	TNFAIP6
PLAGL1	0	1.360904859	0.528	0.3	0	ASPC	PLAGL1
C1orf21	0	1.359508772	0.519	0.188	0	ASPC	C1orf21
GFPT2	0	1.356956196	0.372	0.108	0	ASPC	GFPT2
MRC2	0	1.353980766	0.363	0.071	0	ASPC	MRC2
CAVIN1	0	1.351737857	0.358	0.172	0	ASPC	CAVIN1
AEBP1	0	1.351184585	0.323	0.074	0	ASPC	AEBP1
DDR2	0	1.349694488	0.526	0.293	0	ASPC	DDR2
CRISPLD2	0	1.343129375	0.238	0.033	0	ASPC	CRISPLD2
CLEC3B	0	1.340702264	0.206	0.016	0	ASPC	CLEC3B
LAMC1	0	1.340218005	0.61	0.346	0	ASPC	LAMC1
SH3PXD2B	0	1.338627614	0.392	0.132	0	ASPC	SH3PXD2B
MYADM	0	1.333968284	0.314	0.099	0	ASPC	MYADM
LGALS1	0	1.33039294	0.413	0.225	0	ASPC	LGALS1
ITM2A	0	1.329511755	0.274	0.056	0	ASPC	ITM2A
PLA2G2A	0	1.319109596	0.198	0.099	0	ASPC	PLA2G2A
COL5A2	0	1.317708456	0.634	0.358	0	ASPC	COL5A2
THY1	0	1.315131041	0.241	0.043	0	ASPC	THY1
RPL13A	0	1.311582142	0.369	0.161	0	ASPC	RPL13A
RORA	0	1.31034397	0.811	0.678	0	ASPC	RORA
TSHZ2	0	1.304948613	0.763	0.5	0	ASPC	TSHZ2
TIMP2	0	1.301104781	0.513	0.298	0	ASPC	TIMP2
NOX4	0	1.300988418	0.211	0.05	0	ASPC	NOX4
DLC1	0	1.294296773	0.718	0.432	0	ASPC	DLC1
LHFPL6	0	1.293338482	0.673	0.39	0	ASPC	LHFPL6
MTRNR2L12	0	1.289055831	0.206	0.045	0	ASPC	MTRNR2L12
ZNF385D	0	1.2763451	0.427	0.138	0	ASPC	ZNF385D
RPS8	0	1.275247112	0.463	0.275	0	ASPC	RPS8
ADD3	0	1.26614653	0.62	0.356	0	ASPC	ADD3
CCDC39	0	1.263902597	0.412	0.198	0	ASPC	CCDC39
S100A13	0	1.246742415	0.261	0.058	0	ASPC	S100A13
EGFR	0	1.245719265	0.608	0.369	0	ASPC	EGFR
PAK3	0	1.244421022	0.236	0.032	0	ASPC	PAK3
TMSB4X	0	1.243184651	0.578	0.435	0	ASPC	TMSB4X
ZEB1	0	1.240834826	0.638	0.46	0	ASPC	ZEB1
DENND2A	0	1.231763493	0.356	0.096	0	ASPC	DENND2A
RPL41	0	1.224589486	0.272	0.068	0	ASPC	RPL41
AGTR1	0	1.22285892	0.261	0.027	0	ASPC	AGTR1
CD248	0	1.221187077	0.247	0.045	0	ASPC	CD248
MEG8	0	1.219754015	0.288	0.066	0	ASPC	MEG8
MT1M	0	1.208798324	0.141	0.028	0	ASPC	MT1M
SDC2	0	1.207762621	0.405	0.181	0	ASPC	SDC2
ISLR	0	1.206893393	0.242	0.032	0	ASPC	ISLR
RPL34	0	1.196886239	0.476	0.288	0	ASPC	RPL34
HTRA3	0	1.19078372	0.224	0.026	0	ASPC	HTRA3
SLIT2	0	1.180948513	0.475	0.291	0	ASPC	SLIT2
RPL23	0	1.179011335	0.39	0.209	0	ASPC	RPL23
MARCKS	0	1.176273136	0.293	0.118	0	ASPC	MARCKS
TMSB10	0	1.168091532	0.498	0.282	0	ASPC	TMSB10
SVEP1	0	1.162117363	0.599	0.385	0	ASPC	SVEP1
NID1	0	1.160811168	0.377	0.161	0	ASPC	NID1
ACKR3	0	1.160408251	0.26	0.096	0	ASPC	ACKR3
IFITM3	0	1.159679583	0.309	0.138	0	ASPC	IFITM3
ANXA2	0	1.159649417	0.589	0.428	0	ASPC	ANXA2
SPARC	0	1.157681397	0.621	0.489	0	ASPC	SPARC
PRICKLE1	0	1.155265397	0.352	0.184	0	ASPC	PRICKLE1
HAS2	0	1.153283789	0.156	0.009	0	ASPC	HAS2
COL5A1	0	1.150400362	0.365	0.145	0	ASPC	COL5A1
CAB39L	0	1.144650011	0.331	0.142	0	ASPC	CAB39L
JUND	0	1.144058641	0.276	0.119	0	ASPC	JUND
CYP7B1	0	1.142495586	0.265	0.102	0	ASPC	CYP7B1
RPL12	0	1.13779376	0.358	0.175	0	ASPC	RPL12
ANXA5	0	1.136006016	0.404	0.255	0	ASPC	ANXA5
CCDC102B	0	1.131067723	0.233	0.143	0	ASPC	CCDC102B
RPS6	0	1.121084626	0.473	0.303	0	ASPC	RPS6
SOBP	0	1.119924348	0.283	0.081	0	ASPC	SOBP
RPL13	0	1.11718053	0.515	0.366	0	ASPC	RPL13
TPPP3	0	1.107566255	0.158	0.014	0	ASPC	TPPP3
RPS20	0	1.106249767	0.365	0.201	0	ASPC	RPS20
RUNX1T1	0	1.104311103	0.537	0.348	0	ASPC	RUNX1T1
ANKRD36C	0	1.098625871	0.389	0.233	0	ASPC	ANKRD36C
RRBP1	0	1.096609056	0.409	0.225	0	ASPC	RRBP1
RPL10	0	1.091772279	0.367	0.218	0	ASPC	RPL10
SERF2	0	1.089931194	0.365	0.206	0	ASPC	SERF2
CD44	0	1.084096868	0.522	0.232	0	ASPC	CD44
RPL31	0	1.083932006	0.383	0.227	0	ASPC	RPL31
PLEKHA5	0	1.083133609	0.583	0.398	0	ASPC	PLEKHA5
THBS2	0	1.08310883	0.226	0.025	0	ASPC	THBS2
LTBP4	0	1.080226314	0.364	0.168	0	ASPC	LTBP4
ZFP36L1	0	1.079540459	0.491	0.407	0	ASPC	ZFP36L1
GPNMB	0	1.078754366	0.401	0.163	0	ASPC	GPNMB
C3	0	1.077960148	0.6	0.379	0	ASPC	C3
DSTN	0	1.075797109	0.41	0.232	0	ASPC	DSTN
CD34	0	1.070572028	0.423	0.154	0	ASPC	CD34
F3	0	1.070076233	0.245	0.111	0	ASPC	F3
FBXL7	0	1.06323985	0.67	0.502	0	ASPC	FBXL7
DPYSL3	0	1.062800932	0.348	0.126	0	ASPC	DPYSL3
ROBO1	0	1.062174997	0.439	0.252	0	ASPC	ROBO1
FGFR1	0	1.056191566	0.498	0.294	0	ASPC	FGFR1
RPL35A	0	1.055961063	0.393	0.231	0	ASPC	RPL35A
HMCN1	0	1.05452339	0.352	0.1	0	ASPC	HMCN1
SETBP1	0	1.05373569	0.479	0.286	0	ASPC	SETBP1
ADAM33	0	1.050641305	0.261	0.046	0	ASPC	ADAM33
TPST1	0	1.046416491	0.395	0.223	0	ASPC	TPST1
FGF10	0	1.042720485	0.18	0.04	0	ASPC	FGF10
UGDH	0	1.042389511	0.18	0.059	0	ASPC	UGDH
OLFML3	0	1.041048087	0.21	0.031	0	ASPC	OLFML3
RPL32	0	1.039839511	0.367	0.189	0	ASPC	RPL32
AC034206.1	0	1.036289392	0.124	0.005	0	ASPC	AC034206.1
EID1	0	1.036134933	0.29	0.138	0	ASPC	EID1
PODN	0	1.035083856	0.386	0.158	0	ASPC	PODN
AC062004.1	0	1.032682545	0.137	0.013	0	ASPC	AC062004.1
FAM46A	0	1.029990542	0.317	0.156	0	ASPC	FAM46A
ELN	0	1.029272012	0.397	0.2	0	ASPC	ELN
UBC	0	1.028051176	0.351	0.198	0	ASPC	UBC
RPLP0	0	1.023693625	0.301	0.165	0	ASPC	RPLP0
ADAMTS16	0	1.019286144	0.15	0.033	0	ASPC	ADAMTS16
KLF4	0	1.019162694	0.22	0.069	0	ASPC	KLF4
LMNA	0	1.016721605	0.409	0.246	0	ASPC	LMNA
GALNT17	0	1.011021409	0.183	0.048	0	ASPC	GALNT17
MIR99AHG	0	1.007501828	0.689	0.587	0	ASPC	MIR99AHG
HSP90B1	0	1.006575867	0.429	0.324	0	ASPC	HSP90B1
AXL	0	1.005250313	0.287	0.088	0	ASPC	AXL
NTRK2	0	0.998370694	0.378	0.189	0	ASPC	NTRK2
CTGF	0	0.997427879	0.196	0.06	0	ASPC	CTGF
PRR16	0	0.996489728	0.135	0.021	0	ASPC	PRR16
LAPTM4A	0	0.993398133	0.423	0.264	0	ASPC	LAPTM4A
BOC	0	0.992417617	0.4	0.217	0	ASPC	BOC
PAMR1	0	0.988281362	0.276	0.091	0	ASPC	PAMR1
KLF9	0	0.987041795	0.281	0.147	0	ASPC	KLF9
PTPRD	0	0.985935129	0.322	0.141	0	ASPC	PTPRD
CLU	0	0.984552446	0.352	0.259	0	ASPC	CLU
EBF3	0	0.983643854	0.309	0.136	0	ASPC	EBF3
NAV1	0	0.981268699	0.452	0.258	0	ASPC	NAV1
CYP1B1-AS1	0	0.978088191	0.211	0.068	0	ASPC	CYP1B1-AS1
PDGFRB	0	0.973726923	0.355	0.115	0	ASPC	PDGFRB
UBB	0	0.97313049	0.233	0.083	0	ASPC	UBB
TFPI	0	0.965426924	0.472	0.152	0	ASPC	TFPI
COL16A1	0	0.962545149	0.206	0.029	0	ASPC	COL16A1
UAP1	0	0.956718361	0.251	0.125	0	ASPC	UAP1
ISM1	0	0.954448428	0.16	0.024	0	ASPC	ISM1
NCL	0	0.954049577	0.338	0.229	0	ASPC	NCL
RPLP1	0	0.949344505	0.519	0.377	0	ASPC	RPLP1
RPS11	0	0.94732737	0.4	0.239	0	ASPC	RPS11
PCDH7	0	0.946211532	0.187	0.073	0	ASPC	PCDH7
JUNB	0	0.945899598	0.233	0.131	0	ASPC	JUNB
RHOB	0	0.944540863	0.202	0.095	0	ASPC	RHOB
RPS15	0	0.943487114	0.272	0.116	0	ASPC	RPS15
PDGFRL	0	0.940894217	0.233	0.06	0	ASPC	PDGFRL
PAM	0	0.938474029	0.59	0.437	0	ASPC	PAM
DHFR	0	0.937566093	0.206	0.112	0	ASPC	DHFR
AL109930.1	0	0.934009188	0.397	0.276	0	ASPC	AL109930.1
IGFBP4	0	0.933700438	0.325	0.168	0	ASPC	IGFBP4
FRMD6	0	0.933580927	0.298	0.125	0	ASPC	FRMD6
GALNT13	0	0.931777176	0.2	0.104	0	ASPC	GALNT13
RPL39	0	0.931556364	0.229	0.065	0	ASPC	RPL39
NUCKS1	0	0.924986926	0.424	0.327	0	ASPC	NUCKS1
RPL27A	0	0.92452107	0.366	0.192	0	ASPC	RPL27A
LRFN5	0	0.922074356	0.204	0.085	0	ASPC	LRFN5
DST	0	0.921731867	0.702	0.582	0	ASPC	DST
RPL35	0	0.918443935	0.331	0.18	0	ASPC	RPL35
RPS25	0	0.915872999	0.304	0.163	0	ASPC	RPS25
RND3	0	0.915520582	0.17	0.076	0	ASPC	RND3
CTSK	0	0.913894748	0.224	0.063	0	ASPC	CTSK
FILIP1	0	0.913785745	0.284	0.109	0	ASPC	FILIP1
AL031599.1	0	0.910201515	0.136	0.037	0	ASPC	AL031599.1
CRIP1	0	0.910195458	0.166	0.039	0	ASPC	CRIP1
PTPRG	0	0.909359341	0.741	0.513	0	ASPC	PTPRG
MYOC	0	0.907340087	0.116	0.011	0	ASPC	MYOC
RPS27A	0	0.90650076	0.337	0.183	0	ASPC	RPS27A
CBLB	0	0.905428081	0.606	0.48	0	ASPC	CBLB
CD63	0	0.903844599	0.559	0.418	0	ASPC	CD63
OAF	0	0.90145855	0.245	0.066	0	ASPC	OAF
IGF1	0	0.898159352	0.303	0.212	0	ASPC	IGF1
HSP90AB1	0	0.897890968	0.283	0.187	0	ASPC	HSP90AB1
REV3L	0	0.895291086	0.65	0.569	0	ASPC	REV3L
PNRC1	0	0.891839383	0.231	0.121	0	ASPC	PNRC1
FAP	0	0.891819056	0.164	0.015	0	ASPC	FAP
RPL11	0	0.890595816	0.488	0.357	0	ASPC	RPL11
GALNT15	0	0.88964333	0.242	0.117	0	ASPC	GALNT15
ERRFI1	0	0.888339884	0.244	0.111	0	ASPC	ERRFI1
TPT1	0	0.885942689	0.577	0.476	0	ASPC	TPT1
RPS13	0	0.884993075	0.32	0.181	0	ASPC	RPS13
SSPN	0	0.882391957	0.217	0.082	0	ASPC	SSPN
PTGIS	0	0.880144623	0.352	0.179	0	ASPC	PTGIS
GREB1L	0	0.879552301	0.257	0.192	0	ASPC	GREB1L
RPS12	0	0.879047165	0.416	0.276	0	ASPC	RPS12
NNMT	0	0.875696285	0.354	0.247	0	ASPC	NNMT
GLUL	0	0.871381417	0.303	0.216	0	ASPC	GLUL
LSP1	0	0.870952276	0.243	0.046	0	ASPC	LSP1
FMO2	0	0.870234548	0.191	0.127	0	ASPC	FMO2
OPHN1	0	0.866503967	0.411	0.266	0	ASPC	OPHN1
RPS17	0	0.86624712	0.281	0.134	0	ASPC	RPS17
EIF1	0	0.86287695	0.443	0.337	0	ASPC	EIF1
OSMR	0	0.862089277	0.314	0.207	0	ASPC	OSMR
RPL27	0	0.860644305	0.312	0.165	0	ASPC	RPL27
TUBA1A	0	0.857221455	0.232	0.1	0	ASPC	TUBA1A
MXRA8	0	0.856729223	0.254	0.105	0	ASPC	MXRA8
RPL3	0	0.855644457	0.221	0.091	0	ASPC	RPL3
ASPN	0	0.853536754	0.205	0.086	0	ASPC	ASPN
LAMB2	0	0.851435507	0.243	0.106	0	ASPC	LAMB2
RPL37	0	0.850982963	0.408	0.273	0	ASPC	RPL37
TRIP10	0	0.850880992	0.257	0.107	0	ASPC	TRIP10
SOD3	0	0.850413667	0.176	0.041	0	ASPC	SOD3
RPL24	0	0.850310822	0.325	0.205	0	ASPC	RPL24
H3F3B	0	0.849252147	0.403	0.291	0	ASPC	H3F3B
LGALS3	0	0.846610798	0.394	0.258	0	ASPC	LGALS3
ACTG1	0	0.846258735	0.377	0.263	0	ASPC	ACTG1
CHRDL1	0	0.844719911	0.313	0.196	0	ASPC	CHRDL1
TIMP3	0	0.839569295	0.692	0.483	0	ASPC	TIMP3
RPL14	0	0.838770429	0.323	0.194	0	ASPC	RPL14
SH3D19	0	0.837127812	0.681	0.495	0	ASPC	SH3D19
MT-ND2	0	0.836621207	0.775	0.67	0	ASPC	MT-ND2
SGCD	0	0.832775651	0.352	0.212	0	ASPC	SGCD
RPS14	0	0.828712038	0.447	0.316	0	ASPC	RPS14
TXN	0	0.828249057	0.183	0.077	0	ASPC	TXN
SLIT3	0	0.8277583	0.716	0.505	0	ASPC	SLIT3
CALU	0	0.825769179	0.315	0.191	0	ASPC	CALU
PRELP	0	0.825763579	0.206	0.077	0	ASPC	PRELP
COL15A1	0	0.822310698	0.234	0.127	0	ASPC	COL15A1
RPL26	0	0.821476882	0.271	0.132	0	ASPC	RPL26
AC016708.1	0	0.821028304	0.168	0.041	0	ASPC	AC016708.1
RPS18	0	0.820042039	0.419	0.301	0	ASPC	RPS18
FAM114A1	0	0.815204774	0.336	0.205	0	ASPC	FAM114A1
RPL19	0	0.81511578	0.369	0.227	0	ASPC	RPL19
AMPH	0	0.813000512	0.149	0.014	0	ASPC	AMPH
FOXP2	0	0.811431975	0.37	0.232	0	ASPC	FOXP2
RPLP2	0	0.808828218	0.453	0.33	0	ASPC	RPLP2
MTRNR2L1	0	0.808592773	0.258	0.156	0	ASPC	MTRNR2L1
EEF1A1	0	0.807907713	0.259	0.142	0	ASPC	EEF1A1
CD55	0	0.807620605	0.308	0.237	0	ASPC	CD55
HSP90AA1	0	0.806282019	0.434	0.378	0	ASPC	HSP90AA1
SELENOM	0	0.806143778	0.165	0.046	0	ASPC	SELENOM
CYBRD1	0	0.805950329	0.446	0.314	0	ASPC	CYBRD1
CD81	0	0.804821012	0.364	0.24	0	ASPC	CD81
SNX9	0	0.804479956	0.525	0.409	0	ASPC	SNX9
RPS27	0	0.803860196	0.281	0.141	0	ASPC	RPS27
RPS16	0	0.799929726	0.362	0.237	0	ASPC	RPS16
RPS4X	0	0.796977047	0.373	0.25	0	ASPC	RPS4X
RPS15A	0	0.796686765	0.311	0.177	0	ASPC	RPS15A
FNDC1	0	0.795922907	0.124	0.016	0	ASPC	FNDC1
RPS28	0	0.79586056	0.237	0.09	0	ASPC	RPS28
CYR61	0	0.795180148	0.178	0.098	0	ASPC	CYR61
SYNE1	0	0.794357026	0.609	0.451	0	ASPC	SYNE1
MT-ND5	0	0.79293408	0.61	0.487	0	ASPC	MT-ND5
RPL6	0	0.791955659	0.247	0.135	0	ASPC	RPL6
AC005237.1	0	0.791438243	0.244	0.15	0	ASPC	AC005237.1
PCOLCE2	0	0.791398491	0.451	0.384	0	ASPC	PCOLCE2
ZFHX4	0	0.790551803	0.38	0.259	0	ASPC	ZFHX4
GAS7	0	0.790347533	0.452	0.23	0	ASPC	GAS7
S100A11	0	0.789593774	0.261	0.132	0	ASPC	S100A11
KLF6	0	0.787576609	0.375	0.285	0	ASPC	KLF6
CNTN4	0	0.786084701	0.246	0.16	0	ASPC	CNTN4
RPL4	0	0.782426191	0.242	0.12	0	ASPC	RPL4
PTGFR	0	0.78228838	0.158	0.026	0	ASPC	PTGFR
BMPER	0	0.779101619	0.197	0.115	0	ASPC	BMPER
FGF10-AS1	0	0.77850715	0.128	0.024	0	ASPC	FGF10-AS1
AP001347.1	0	0.778249057	0.23	0.116	0	ASPC	AP001347.1
ANGPTL2	0	0.777516216	0.267	0.153	0	ASPC	ANGPTL2
RACK1	0	0.776359491	0.331	0.224	0	ASPC	RACK1
NUPR1	0	0.774964651	0.204	0.1	0	ASPC	NUPR1
GADD45B	0	0.774529143	0.131	0.063	0	ASPC	GADD45B
PLXDC2	0	0.77413327	0.728	0.613	0	ASPC	PLXDC2
RPL38	0	0.77303802	0.334	0.193	0	ASPC	RPL38
EMP1	0	0.769272919	0.51	0.396	0	ASPC	EMP1
AC012404.1	0	0.768704875	0.294	0.222	0	ASPC	AC012404.1
CPQ	0	0.767017272	0.553	0.43	0	ASPC	CPQ
DNM3OS	0	0.766761976	0.198	0.062	0	ASPC	DNM3OS
TENM1	0	0.766001123	0.187	0.087	0	ASPC	TENM1
RPS29	0	0.765645525	0.37	0.204	0	ASPC	RPS29
PMP22	0	0.765178744	0.396	0.268	0	ASPC	PMP22
SAMHD1	0	0.764398742	0.379	0.254	0	ASPC	SAMHD1
SPAG17	0	0.762641955	0.156	0.081	0	ASPC	SPAG17
SPON2	0	0.761186599	0.223	0.074	0	ASPC	SPON2
SVIL	0	0.760448134	0.43	0.313	0	ASPC	SVIL
SFRP2	0	0.758462525	0.148	0.058	0	ASPC	SFRP2
FTH1	0	0.755241209	0.475	0.325	0	ASPC	FTH1
PPIB	0	0.754395887	0.265	0.156	0	ASPC	PPIB
CACNA1C	0	0.753704727	0.3	0.139	0	ASPC	CACNA1C
ACTB	0	0.753277045	0.401	0.279	0	ASPC	ACTB
RPL7A	0	0.751199309	0.249	0.136	0	ASPC	RPL7A
FN1	0	0.750579156	0.441	0.281	0	ASPC	FN1
CST3	0	0.74723316	0.585	0.444	0	ASPC	CST3
GPX4	0	0.745374898	0.269	0.188	0	ASPC	GPX4
EFEMP1	0	0.745280251	0.498	0.359	0	ASPC	EFEMP1
3-Mar	0	0.743809668	0.265	0.194	0	ASPC	3-Mar
SLC19A2	0	0.743049111	0.18	0.104	0	ASPC	SLC19A2
RPS23	0	0.742727392	0.359	0.242	0	ASPC	RPS23
GFRA1	0	0.742290035	0.191	0.079	0	ASPC	GFRA1
NFKBIA	0	0.741231889	0.254	0.145	0	ASPC	NFKBIA
AC068234.1	0	0.740456438	0.151	0.033	0	ASPC	AC068234.1
MYL6	0	0.738892932	0.414	0.35	0	ASPC	MYL6
RPS24	0	0.737084574	0.401	0.285	0	ASPC	RPS24
LMO3	0	0.736983945	0.258	0.154	0	ASPC	LMO3
XG	0	0.735924436	0.143	0.015	0	ASPC	XG
PPP1R15A	0	0.734757221	0.178	0.078	0	ASPC	PPP1R15A
F10	0	0.734347039	0.144	0.016	0	ASPC	F10
LGALS3BP	0	0.732961171	0.209	0.093	0	ASPC	LGALS3BP
ASPA	0	0.732466114	0.222	0.109	0	ASPC	ASPA
LOX	0	0.73018977	0.161	0.057	0	ASPC	LOX
GULP1	0	0.729926393	0.328	0.202	0	ASPC	GULP1
RBMS3	0	0.727811971	0.576	0.447	0	ASPC	RBMS3
TCF4	0	0.727521418	0.681	0.512	0	ASPC	TCF4
MAP7D3	0	0.726630479	0.236	0.141	0	ASPC	MAP7D3
RPL37A	0	0.724955856	0.453	0.343	0	ASPC	RPL37A
RPL5	0	0.724776876	0.351	0.267	0	ASPC	RPL5
LRRC17	0	0.724148924	0.142	0.034	0	ASPC	LRRC17
RPL22	0	0.72144287	0.221	0.115	0	ASPC	RPL22
PCNX2	0	0.719887568	0.324	0.177	0	ASPC	PCNX2
YBX3	0	0.718195187	0.345	0.224	0	ASPC	YBX3
RPL9	0	0.717300939	0.183	0.071	0	ASPC	RPL9
CACNB4	0	0.715168022	0.158	0.046	0	ASPC	CACNB4
SRGAP1	0	0.714588363	0.461	0.347	0	ASPC	SRGAP1
