	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CXCL14	0	3.699825362	0.426	0.082	0	ASPC	CXCL14
NEGR1	0	3.668332229	0.867	0.247	0	ASPC	NEGR1
DCN	0	3.565394371	0.96	0.506	0	ASPC	DCN
LAMA2	0	3.417902365	0.829	0.266	0	ASPC	LAMA2
APOD	0	3.383653069	0.493	0.12	0	ASPC	APOD
DCLK1	0	3.37714263	0.763	0.104	0	ASPC	DCLK1
COL1A2	0	3.17061225	0.888	0.401	0	ASPC	COL1A2
KAZN	0	2.99572199	0.679	0.215	0	ASPC	KAZN
ROBO2	0	2.954188118	0.543	0.091	0	ASPC	ROBO2
COL6A3	0	2.924759436	0.739	0.123	0	ASPC	COL6A3
CFD	0	2.841957384	0.893	0.643	0	ASPC	CFD
NOVA1	0	2.834286647	0.723	0.213	0	ASPC	NOVA1
ABCA10	0	2.796988764	0.61	0.233	0	ASPC	ABCA10
MFAP5	0	2.771185156	0.523	0.119	0	ASPC	MFAP5
LINC02511	0	2.681180005	0.43	0.036	0	ASPC	LINC02511
FBN1	0	2.586412683	0.756	0.392	0	ASPC	FBN1
ABCA9	0	2.520763101	0.707	0.228	0	ASPC	ABCA9
COL1A1	0	2.494300403	0.668	0.267	0	ASPC	COL1A1
GSN	0	2.475901558	0.875	0.562	0	ASPC	GSN
COL3A1	0	2.386706729	0.788	0.478	0	ASPC	COL3A1
PRRX1	0	2.343071773	0.573	0.079	0	ASPC	PRRX1
LUM	0	2.265953104	0.572	0.171	0	ASPC	LUM
FBLN1	0	2.258373808	0.604	0.14	0	ASPC	FBLN1
MT2A	0	2.241340478	0.34	0.123	0	ASPC	MT2A
FSTL1	0	2.239742948	0.702	0.336	0	ASPC	FSTL1
FGF14	0	2.233261188	0.399	0.057	0	ASPC	FGF14
CCDC80	0	2.229885697	0.83	0.471	0	ASPC	CCDC80
ANK2	0	2.207507521	0.609	0.227	0	ASPC	ANK2
PRG4	0	2.172552677	0.191	0.105	0	ASPC	PRG4
KCND2	0	2.172284047	0.426	0.119	0	ASPC	KCND2
LINC00486	0	2.111033756	0.428	0.155	0	ASPC	LINC00486
ABCA9-AS1	0	2.090686779	0.417	0.127	0	ASPC	ABCA9-AS1
MGP	0	2.078770122	0.724	0.465	0	ASPC	MGP
S100A6	0	2.067014379	0.624	0.412	0	ASPC	S100A6
GPC3	0	1.96054833	0.401	0.13	0	ASPC	GPC3
FOS	0	1.959134743	0.417	0.19	0	ASPC	FOS
C1R	0	1.952695926	0.569	0.214	0	ASPC	C1R
CXCL12	0	1.952306631	0.41	0.095	0	ASPC	CXCL12
FBLN2	0	1.940845016	0.528	0.163	0	ASPC	FBLN2
SCARA5	0	1.937158871	0.42	0.037	0	ASPC	SCARA5
COL6A2	0	1.933076769	0.688	0.271	0	ASPC	COL6A2
UST	0	1.925711383	0.57	0.176	0	ASPC	UST
DPT	0	1.900461963	0.418	0.099	0	ASPC	DPT
CFH	0	1.885645589	0.588	0.268	0	ASPC	CFH
ADAMTSL1	0	1.885122705	0.366	0.092	0	ASPC	ADAMTSL1
VCAN	0	1.881744075	0.45	0.101	0	ASPC	VCAN
IGFBP6	0	1.871897424	0.486	0.2	0	ASPC	IGFBP6
S100A10	0	1.868568219	0.524	0.281	0	ASPC	S100A10
PLAC9	0	1.866211546	0.469	0.148	0	ASPC	PLAC9
S100A4	0	1.81228012	0.481	0.182	0	ASPC	S100A4
MT1X	0	1.797669608	0.185	0.062	0	ASPC	MT1X
MEG3	0	1.797059041	0.515	0.126	0	ASPC	MEG3
C7	0	1.739749253	0.267	0.105	0	ASPC	C7
PLPP3	0	1.706448598	0.501	0.188	0	ASPC	PLPP3
MMP2	0	1.702776189	0.39	0.074	0	ASPC	MMP2
FGF7	0	1.702761056	0.357	0.057	0	ASPC	FGF7
EGR1	0	1.699521267	0.266	0.075	0	ASPC	EGR1
ABCA6	0	1.692489256	0.653	0.3	0	ASPC	ABCA6
MFAP4	0	1.675685402	0.328	0.049	0	ASPC	MFAP4
ABCA8	0	1.675201104	0.605	0.324	0	ASPC	ABCA8
COL6A1	0	1.663230007	0.68	0.334	0	ASPC	COL6A1
PI16	0	1.662869587	0.243	0.033	0	ASPC	PI16
SDK1	0	1.636868565	0.486	0.222	0	ASPC	SDK1
EBF2	0	1.63030902	0.386	0.085	0	ASPC	EBF2
JUN	0	1.613400131	0.352	0.143	0	ASPC	JUN
IGFBP5	0	1.602208013	0.519	0.299	0	ASPC	IGFBP5
GPX3	0	1.598610187	0.295	0.083	0	ASPC	GPX3
VIM	0	1.594593718	0.745	0.577	0	ASPC	VIM
FOSB	0	1.593635822	0.272	0.086	0	ASPC	FOSB
SERPINF1	0	1.586764399	0.415	0.138	0	ASPC	SERPINF1
CHL1	0	1.579713223	0.367	0.076	0	ASPC	CHL1
VIT	0	1.57525051	0.333	0.039	0	ASPC	VIT
FBLN5	0	1.567928279	0.406	0.083	0	ASPC	FBLN5
MT-ATP8	0	1.565538593	0.369	0.14	0	ASPC	MT-ATP8
SNED1	0	1.559119176	0.58	0.364	0	ASPC	SNED1
ADAMTS5	0	1.554749428	0.349	0.107	0	ASPC	ADAMTS5
WISP2	0	1.55377978	0.343	0.064	0	ASPC	WISP2
COL14A1	0	1.549353064	0.327	0.062	0	ASPC	COL14A1
C1S	0	1.528369085	0.62	0.32	0	ASPC	C1S
MT1E	0	1.524784528	0.2	0.064	0	ASPC	MT1E
ITGA11	0	1.516394024	0.307	0.049	0	ASPC	ITGA11
MAP1B	0	1.499837359	0.426	0.183	0	ASPC	MAP1B
SRPX	0	1.49863223	0.314	0.076	0	ASPC	SRPX
ADAMTSL3	0	1.476203016	0.315	0.115	0	ASPC	ADAMTSL3
SERPING1	0	1.475970975	0.499	0.252	0	ASPC	SERPING1
